TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,108,10.3095,5.60327e+06,0,234.246,54.2461,94.6396,85.3604,
0,108,31.4715,410925,0,254.249,272.564,91.5184,88.4816,
0,108,32.4548,326328,0,247.694,259.846,91.4724,88.5276,
0,109,10.1189,5.70884e+06,0,235.784,55.7843,94.7272,85.2728,
0,109,31.4615,411055,0,254.249,270.855,91.5188,88.4812,
0,109,32.5183,325691,0,247.694,258.198,91.4695,88.5305,
0,110,9.93579,5.81403e+06,0,237.381,57.3808,94.8145,85.1855,
0,110,31.4615,411055,0,254.249,269.145,91.5188,88.4812,
0,110,32.5911,324963,0,247.694,256.569,91.4662,88.5338,
0,110,36.3795,180056,0,255.964,269.301,91.3135,88.6865,
0,111,9.76067,5.91834e+06,0,239.036,59.0362,94.9011,85.0989,
0,111,31.4715,410925,0,254.249,267.436,91.5184,88.4816,
0,111,32.6731,324147,0,247.694,254.962,91.4625,88.5375,
0,111,36.3876,180016,0,255.964,267.905,91.3132,88.6868,
0,112,9.59396,6.02119e+06,0,240.751,60.7512,94.9865,85.0135,
0,112,31.4913,410666,0,254.249,265.732,91.5174,88.4826,
0,112,32.7641,323248,0,247.694,253.379,91.4584,88.5415,
0,112,36.4039,179936,0,255.964,266.511,91.3126,88.6874,
0,113,9.43609,6.12192e+06,0,242.526,62.5256,95.0701,84.9299,
0,113,31.5211,410278,0,254.249,264.036,91.516,88.484,
0,113,32.8638,322267,0,247.694,251.822,91.454,88.546,
0,113,36.4282,179816,0,255.964,265.121,91.3117,88.6883,
0,114,9.28753,6.21984e+06,0,244.359,64.359,95.1514,84.8486,
0,114,31.5606,409764,0,254.249,262.349,91.5141,88.4859,
0,114,32.9721,321209,0,247.694,250.292,91.4492,88.5508,
0,114,36.4606,179656,0,255.964,263.737,91.3106,88.6894,
0,115,9.14872,6.31421e+06,0,246.251,66.2505,95.2298,84.7702,
0,115,31.6098,409126,0,254.249,260.676,91.5117,88.4883,
0,115,33.0886,320077,0,247.694,248.791,91.4441,88.5559,
0,115,36.5009,179457,0,255.964,262.36,91.3091,88.6909,
0,116,9.02012,6.40424e+06,0,248.199,68.1986,95.3046,84.6954,
0,116,31.6686,408367,0,254.249,259.019,91.5089,88.4911,
0,116,33.2133,318876,0,247.694,247.319,91.4387,88.5613,
