TimeSteps,ResultPoints,Delay(ns),FieldStrength(uV/m),DopplerShift(Hz),AoD_Azimuth(0-360),AoA_Azimuth(0-360),AoD_Elevation(0-180),AoA_Elevation(0-180)
0,82,38.6161,274261,5.38945,247.694,271.091,91.2374,88.7626,
0,83,8.69989,6.63996e+06,0,195.642,15.6422,95.5004,84.4996,
0,83,37.695,343080,4.85225,254.249,279.372,91.2676,88.7324,
0,83,38.2827,276650,5.38854,247.694,271.112,91.2482,88.7518,
0,84,8.79528,6.56794e+06,0,197.745,17.7447,95.4406,84.5594,
0,84,37.3661,346100,4.8436,254.249,279.554,91.2788,88.7212,
0,84,37.9493,279080,5.38759,247.694,271.134,91.2591,88.7409,
0,85,8.90216,6.4891e+06,0,199.799,19.7989,95.3751,84.6249,
0,85,37.0373,349173,4.83459,254.249,279.744,91.2902,88.7099,
0,85,37.6159,281554,5.3866,247.694,271.157,91.2703,88.7297,
0,86,9.02012,6.40424e+06,0,201.801,21.8014,95.3046,84.6954,
0,86,36.7087,352298,4.8252,254.249,279.941,91.3017,88.6983,
0,86,37.2825,284072,5.38558,247.694,271.181,91.2817,88.7183,
0,87,9.14872,6.31421e+06,0,203.749,23.7495,95.2298,84.7702,
0,87,36.3804,355478,4.8154,254.249,280.146,91.3134,88.6866,
0,87,36.949,286635,5.38451,247.694,271.206,91.2932,88.7068,
0,88,9.28753,6.21984e+06,0,205.641,25.641,95.1514,84.8486,
0,88,36.0522,358714,4.80517,254.249,280.359,91.3254,88.6746,
0,88,36.6156,289245,5.3834,247.694,271.232,91.305,88.695,
0,89,9.43609,6.12192e+06,0,207.474,27.4744,95.0701,84.9299,
0,89,35.7243,362006,4.79447,254.249,280.582,91.3376,88.6624,
0,89,36.2822,291903,5.38223,247.694,271.259,91.317,88.683,
0,90,9.59396,6.02119e+06,0,209.249,29.2488,94.9865,85.0135,
0,90,35.3966,365357,4.78328,254.249,280.814,91.35,88.65,
0,90,35.9489,294610,5.38102,247.694,271.287,91.3292,88.6708,
0,91,9.76067,5.91834e+06,0,210.964,30.9638,94.9011,85.0989,
0,91,35.0692,368768,4.77156,254.249,281.056,91.3626,88.6374,
0,91,35.6155,297368,5.37974,247.694,271.317,91.3417,88.6583,
0,92,9.93579,5.81403e+06,0,212.619,32.6192,94.8145,85.1855,
0,92,34.7421,372241,4.75928,254.249,281.31,91.3754,88.6246,
0,92,35.2821,300178,5.37841,247.694,271.348,91.3543,88.6457,
0,93,10.1189,5.70884e+06,0,214.216,34.2157,94.7272,85.2728,
0,93,34.4152,375776,4.74638,254.249,281.575,91.3885,88.6115,
0,93,34.9487,303042,5.37702,247.694,271.38,91.3673,88.6327,
0,94,10.3095,5.60327e+06,0,215.754,35.7539,94.6396,85.3604,
0,94,34.0887,379375,4.73284,254.249,281.853,91.4018,88.5982,
0,94,34.6153,305960,5.37555,247.694,271.414,91.3804,88.6196,
0,95,10.5073,5.49781e+06,0,217.235,37.2348,94.5521,85.4479,
0,95,33.7625,383040,4.7186,254.249,282.144,91.4153,88.5847,
0,95,34.282,308935,5.37401,247.694,271.45,91.3939,88.6061,
0,96,10.7118,5.39285e+06,0,218.66,38.6598,94.465,85.535,
0,96,33.4367,386773,4.7036,254.249,282.45,91.4291,88.5709,
0,96,33.9486,311969,5.37239,247.694,271.488,91.4075,88.5925,
0,97,10.9226,5.28874e+06,0,220.03,40.0303,94.3786,85.6214,
0,97,33.1113,390574,4.68778,254.249,282.771,91.4432,88.5569,
0,97,33.6153,315062,5.37068,247.694,271.528,91.4215,88.5785,
0,98,11.1395,5.18578e+06,0,221.348,41.3478,94.2932,85.7068,
0,98,32.7863,394445,4.67108,254.249,283.109,91.4575,88.5425,
0,98,33.2819,318218,5.36888,247.694,271.569,91.4358,88.5642,
0,99,11.362,5.08422e+06,0,222.614,42.6141,94.209,85.791,
0,99,32.4618,398389,4.65343,254.249,283.465,91.472,88.528,
0,99,32.9486,321437,5.36698,247.694,271.614,91.4503,88.5497,
0,100,11.5899,4.98427e+06,0,223.831,43.8309,94.1261,85.8739,
0,100,32.1377,402406,4.63473,254.249,283.841,91.4869,88.5131,
0,100,32.6153,324722,5.36497,247.694,271.66,91.4651,88.5349,
0,101,11.8227,4.8861e+06,0,225,45,94.0447,85.9553,
0,101,31.8142,406498,4.61491,254.249,284.237,91.502,88.498,
0,101,32.282,328075,5.36283,247.694,271.71,91.4802,88.5198,
0,102,11.5899,4.98427e+06,0,226.169,46.1691,94.1261,85.8739,
0,102,31.7368,407489,4.69512,254.249,282.619,91.5057,88.4943,
0,102,32.277,328126,5.43423,247.694,270,91.4805,88.5195,
0,103,11.362,5.08422e+06,0,227.386,47.3859,94.209,85.791,
0,103,31.6686,408367,4.77491,254.249,280.981,91.5089,88.4911,
0,103,32.282,328075,5.50354,247.694,268.29,91.4802,88.5198,
0,104,11.1395,5.18578e+06,0,228.652,48.6522,94.2932,85.7068,
0,104,31.6098,409126,4.85404,254.249,279.324,91.5117,88.4883,
0,104,32.2969,327923,5.57056,247.694,266.583,91.4796,88.5205,
0,105,10.9226,5.28874e+06,0,229.97,49.9697,94.3786,85.6214,
0,105,31.5606,409764,4.93229,254.249,277.651,91.5141,88.4859,
0,105,32.3217,327672,5.63515,247.694,264.883,91.4784,88.5216,
0,106,10.7118,5.39285e+06,0,231.34,51.3402,94.465,85.535,
0,106,31.5211,410278,5.00941,254.249,275.964,91.516,88.484,
0,106,32.3563,327321,5.69716,247.694,263.191,91.4768,88.5232,
0,107,10.5073,5.49781e+06,0,232.765,52.7652,94.5521,85.4479,
0,107,31.4913,410666,5.08517,254.249,274.268,91.5174,88.4826,
0,107,32.4007,326872,5.75648,247.694,261.511,91.4748,88.5252,
0,108,10.3095,5.60327e+06,0,234.246,54.2461,94.6396,85.3604,
0,108,31.4715,410925,5.15934,254.249,272.564,91.5184,88.4816,
0,108,32.4548,326328,5.81301,247.694,259.846,91.4724,88.5276,
0,109,10.1189,5.70884e+06,0,235.784,55.7843,94.7272,85.2728,
0,109,31.4615,411055,5.23172,254.249,270.855,91.5188,88.4812,
0,109,32.5183,325691,5.86669,247.694,258.198,91.4695,88.5305,
0,110,9.93579,5.81403e+06,0,237.381,57.3808,94.8145,85.1855,
0,110,31.4615,411055,5.30209,254.249,269.145,91.5188,88.4812,
0,110,32.5911,324963,5.91746,247.694,256.569,91.4662,88.5338,
0,110,36.3795,180056,5.24615,255.964,269.301,91.3135,88.6865,
