TimeSteps,Delay,FieldStrength,DopplerShift,AoD_Azimuth,AoA_Azimuth,AoD_Elevation,AoA_Elevation
0,35.1816,367590,5.97189,254.249,248.318,91.3582,88.6418,
0,37.0923,285529,6.29841,247.694,239.959,91.2882,88.7118,
0,39.9479,163972,5.84705,255.964,251.39,91.1961,88.8039,
0,5.40178,1.06941e+07,0,270,90,98.8807,81.1193,
0,35.492,364375,5.96112,254.249,248.782,91.3463,88.6537,
0,37.3818,283317,6.28943,247.694,240.546,91.2783,88.7217,
0,40.2643,162684,5.83803,255.964,251.737,91.1867,88.8133,
0,5.07248,1.13883e+07,0,270,90,99.4623,80.5377,
0,35.8033,361207,5.95059,254.249,249.228,91.3346,88.6654,
0,37.673,281127,6.28045,247.694,241.113,91.2684,88.7316,
0,40.5813,161413,5.82923,255.964,252.072,91.1775,88.8225,
0,4.74377,1.21774e+07,0,270,90,100.125,79.8753,
0,36.1156,358084,5.94031,254.249,249.656,91.3231,88.6769,
0,37.9658,278959,6.27149,247.694,241.661,91.2586,88.7414,
0,40.8989,160160,5.82064,255.964,252.395,91.1683,88.8317,
0,4.41579,1.30819e+07,0,270,90,100.886,79.1145,
0,36.4287,355006,5.93027,254.249,250.067,91.3117,88.6883,
0,38.26,276814,6.26255,247.694,242.19,91.2489,88.7511,
0,41.217,158924,5.81225,255.964,252.708,91.1593,88.8407,
0,4.08871,1.41284e+07,0,270,90,101.768,78.2317,
0,36.7426,351973,5.92046,254.249,250.463,91.3005,88.6995,
0,38.5557,274691,6.25366,247.694,242.7,91.2393,88.7607,
0,41.5357,157704,5.80406,255.964,253.009,91.1504,88.8496,
0,3.76277,1.53522e+07,0,270,90,102.804,77.1957,
0,37.0572,348985,5.91088,254.249,250.844,91.2895,88.7105,
0,38.8527,272591,6.24483,247.694,243.194,91.2299,88.7701,
0,41.8549,156502,5.79607,255.964,253.301,91.1416,88.8584,
0,3.4383,1.6801e+07,0,270,90,104.036,75.9638,
0,37.3726,346040,5.90154,254.249,251.211,91.2786,88.7214,
0,39.151,270515,6.23606,247.694,243.672,91.2205,88.7795,
0,42.1746,155315,5.78827,255.964,253.583,91.133,88.867,
0,3.11575,1.85403e+07,0,270,90,105.524,74.4759,
0,37.6886,343138,5.89241,254.249,251.565,91.2679,88.7322,
0,39.4505,268461,6.22737,247.694,244.134,91.2112,88.7888,
0,42.4947,154145,5.78066,255.964,253.856,91.1244,88.8756,
0,2.79578,2.06622e+07,0,270,90,107.354,72.646,
0,38.0053,340279,5.88351,254.249,251.906,91.2573,88.7427,
0,39.7511,266431,6.21877,247.694,244.581,91.2021,88.7979,
0,42.8153,152991,5.77322,255.964,254.12,91.116,88.884,
0,2.47939,2.32988e+07,0,270,90,109.654,70.3462,
0,38.3226,337462,5.87481,254.249,252.235,91.2469,88.7531,
0,40.0529,264423,6.21026,247.694,245.014,91.193,88.807,
0,43.1362,151853,5.76596,255.964,254.376,91.1077,88.8923,
0,2.16817,2.66432e+07,0,270,90,112.62,67.3801,
0,38.6405,334686,5.86633,254.249,252.553,91.2366,88.7634,
0,40.3557,262439,6.20184,247.694,245.433,91.184,88.816,
0,43.4576,150730,5.75887,255.964,254.624,91.0995,88.9005,
0,1.86468,3.09796e+07,0,270,90,116.565,63.435,
0,38.9589,331950,5.85805,254.249,252.86,91.2265,88.7735,
0,40.6594,260478,6.19353,247.694,245.839,91.1752,88.8248,
0,43.7794,149622,5.75194,255.964,254.864,91.0914,88.9086,
1,20.1696,2.86406e+06,0,294.444,114.444,92.3696,87.6304,
1,31.5119,410398,5.19176,256.728,179.946,91.5164,88.4836,
1,34.1962,187629,5.55649,258.275,191.123,91.3974,88.6026,
